album_type,artists,album_name,total_tracks,explicit,is_local,name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
album,Mac Miller,K.I.D.S.,16,True,False,The Spins,80,0.794,0.7659999999999999,9,-3.894,0,0.0377,0.0135,0.0,0.0785,0.55,127.007,195873,4
album,Waylon Jennings~Willie Nelson,Waylon & Willie,11,False,False,The Year 2003 Minus 25 - Remastered,43,0.626,0.457,4,-13.785,1,0.0384,0.355,9.2e-06,0.0668,0.474,102.166,184267,4
album,Bruno Mars,Doo-Wops & Hooligans,10,False,False,Talking to the Moon,82,0.523,0.606,1,-4.754,0,0.0301,0.512,0.0,0.106,0.065,145.83700000000005,217867,4
single,Anthem Lights,Best of the Year Medleys: 2007 - 2012,6,False,False,Best of 2010: Baby / Break Even / Need You Now / Dynamite / Tik Tok / Airplanes,42,0.417,0.443,5,-6.261,1,0.0328,0.7090000000000001,0.0,0.217,0.47,119.903,155342,4
single,Roar,I Can't Handle Change,6,True,False,I Can't Handle Change,81,0.247,0.438,5,-8.479,1,0.0358,0.0455,0.0008710000000000001,0.111,0.39,185.716,198213,3
single,Schoolgirl Byebye,軟弱,5,False,False,"Year,2015",25,0.314,0.0855,9,-15.775,1,0.0342,0.969,0.795,0.16,0.161,69.893,74302,3
album,Miguel,All I Want Is You,13,False,False,Sure Thing,79,0.684,0.607,11,-8.127,0,0.1,0.0267,0.000307,0.191,0.498,81.001,195373,4
album,Nothing More,The Few Not Fleeting (10 Year Anniversary Edition),13,False,False,Gone (Acoustic 2010),28,0.265,0.5760000000000001,5,-6.99,0,0.0301,0.172,0.0,0.0896,0.225,150.84,258787,4
album,Bruno Mars,Doo-Wops & Hooligans,10,False,False,Just the Way You Are,80,0.637,0.843,5,-5.4129999999999985,1,0.0432,0.0151,0.0,0.0876,0.434,109.012,220733,4
album,Matias Grandom,Fear,15,False,False,Year 2000,18,0.693,0.387,9,-13.82,1,0.052000000000000005,0.00157,0.588,0.108,0.282,129.968,194508,4
album,Train,"Save Me, San Francisco (Golden Gate Edition)",19,False,False,"Hey, Soul Sister",82,0.6729999999999999,0.8859999999999999,1,-4.44,0,0.0431,0.185,0.0,0.0826,0.795,97.012,216773,4
album,The Wonder Years,Sleeping on Trash: A Collection of Songs Recorded 2005-2010,18,False,False,You’re not Salinger. Get over It.,24,0.481,0.905,1,-3.66,1,0.0622,0.000743,0.0,0.349,0.6,99.214,222664,4
album,Dr. Dog,"Shame, Shame (Deluxe Edition)",18,False,False,Where'd All the Time Go?,78,0.454,0.82,2,-4.1930000000000005,1,0.0567,0.132,0.000969,0.115,0.575,166.303,234800,4
album,Silverchair,Neon Ballroom,12,False,False,Anthem for the Year 2000,46,0.325,0.768,2,-7.51,1,0.0491,0.0426,4.04e-06,0.27,0.454,176.6,247787,4
album,Nicki Minaj,Pink Friday (Complete Edition),21,True,False,Super Bass,78,0.723,0.86,11,-4.357,1,0.203,0.271,4.56e-06,0.598,0.667,126.979,200013,4
album,Brandi Carlile~Seattle Symphony Orchestra,Live At Benaroya Hall with The Seattle Symphony,13,False,False,"Sixty Years On - Live at Benaroya Hall, Seattle, WA - November 2010",21,0.295,0.188,11,-14.399,0,0.0381,0.897,0.000495,0.698,0.051,132.638,291640,3
album,Waka Flocka Flame,Flockaveli,17,True,False,No Hands (feat. Roscoe Dash & Wale),74,0.76,0.595,1,-6.3660000000000005,1,0.0391,0.00544,0.0,0.241,0.361,131.497,263773,4
single,Anthem Lights,K-LOVE Fan Awards: Songs of the Year (2015 Mash-Up),1,False,False,K-LOVE Fan Awards: Songs of the Year (2015 Mash-Up),31,0.39,0.455,4,-4.247,1,0.0316,0.397,0.0,0.125,0.358,107.012,182288,4
album,Kanye West,My Beautiful Dark Twisted Fantasy,13,True,False,POWER,78,0.542,0.914,0,-4.747,0,0.113,0.0161,0.0,0.7440000000000001,0.5760000000000001,153.993,292093,4
album,The Wonder Years,Sleeping on Trash: A Collection of Songs Recorded 2005-2010,18,False,False,Won’t Be Pathetic Forever,23,0.42,0.923,11,-4.121,1,0.221,0.00609,0.0,0.043,0.491,164.11700000000005,179969,4
album,Kesha,Animal (Expanded Edition),18,False,False,TiK ToK,80,0.755,0.8370000000000001,2,-2.718,0,0.142,0.0991,0.0,0.289,0.7140000000000001,120.028,199693,4
album,Year 200X,We Are Error,13,False,False,Ducktales (the Moon),22,0.257,0.725,7,-6.721,1,0.039,0.00015900000000000002,0.846,0.157,0.405,82.509,131253,4
album,Zac Brown Band,You Get What You Give (Deluxe),16,False,False,Knee Deep (feat. Jimmy Buffett),73,0.715,0.584,8,-8.231,1,0.0296,0.4320000000000001,1.41e-06,0.095,0.609,90.99,203173,4
compilation,Matt Monro,The Best Of The Capitol Years,18,False,False,We're Gonna Change The World - Remastered 2010,18,0.625,0.53,7,-10.577,1,0.0334,0.468,0.0,0.0346,0.8690000000000001,103.026,218707,4
album,Jason Aldean,My Kinda Party,15,False,False,Dirt Road Anthem,72,0.68,0.741,2,-5.055,1,0.0357,0.34700000000000003,1.87e-06,0.117,0.635,127.024,229400,4
album,Year 200X,We Are Error,13,False,False,Zelda II (Title - Battle - Fairy - Palace),19,0.112,0.7090000000000001,7,-8.902999999999997,1,0.0596,4.74e-05,0.879,0.0709,0.146,54.37,386227,3
single,Patrick Watson,Je te laisserai des mots,1,False,False,Je te laisserai des mots,80,0.303,0.187,2,-16.757,1,0.0356,0.989,0.489,0.101,0.213,132.731,160853,4
album,The Wonder Years,Sleeping on Trash: A Collection of Songs Recorded 2005-2010,18,False,False,Solo & Chewy: Holdin’ it Down,21,0.475,0.971,1,-4.058,1,0.08199999999999999,0.00169,0.0,0.318,0.517,98.819,194008,4
album,Eminem,Recovery,17,True,False,Love The Way You Lie,81,0.7490000000000001,0.925,10,-5.034,1,0.227,0.241,0.0,0.52,0.6409999999999999,86.98899999999998,263373,4
album,Third Eye Blind,A Collection,19,False,False,Losing a Whole Year - 2006 Remaster,26,0.409,0.86,4,-5.0360000000000005,1,0.0369,3.68e-05,0.000204,0.0816,0.5539999999999999,175.671,200907,4
album,Bruno Mars,Doo-Wops & Hooligans,10,False,False,Grenade,75,0.706,0.5579999999999999,2,-7.237,0,0.0593,0.146,0.0,0.118,0.227,110.443,223253,4
album,The Wonder Years,Sleeping on Trash: A Collection of Songs Recorded 2005-2010,18,False,False,An Elegy for Baby Blue,19,0.443,0.935,11,-4.168,1,0.0726,0.000692,0.0,0.141,0.504,108.933,145113,4
album,Kanye West,My Beautiful Dark Twisted Fantasy,13,True,False,Devil In A New Dress,75,0.435,0.76,8,-4.935,0,0.0721,0.0175,0.0,0.158,0.206,80.082,351947,4
album,Year 200X,We Are Error,13,False,False,Ghosts N Goblins,18,0.294,0.7879999999999999,7,-8.439,1,0.0441,4.15e-06,0.967,0.0681,0.541,93.028,106973,4
album,Kanye West,My Beautiful Dark Twisted Fantasy,13,True,False,Runaway,75,0.374,0.568,1,-3.825,0,0.109,0.219,0.00219,0.513,0.111,84.73299999999998,547733,4
album,The Wonder Years,Sleeping on Trash: A Collection of Songs Recorded 2005-2010,18,False,False,Hey Julie,18,0.637,0.453,7,-5.345,1,0.0322,0.342,0.0,0.0952,0.7440000000000001,134.525,164928,4
album,Kanye West,My Beautiful Dark Twisted Fantasy,13,True,False,All Of The Lights,75,0.531,0.8029999999999999,1,-3.284,1,0.0717,0.0796,1.7100000000000002e-05,0.17600000000000002,0.221,142.113,299613,4
single,Anthem Lights,K-Love Fan Awards: Songs of the Year (2014 Mash-Up),1,False,False,K-Love Fan Awards: Songs of the Year (2014 Mash-Up),26,0.42,0.281,11,-8.204,1,0.0334,0.8290000000000001,0.0,0.376,0.229,119.515,213165,4
album,Neon Trees,Habits,8,False,False,Animal,71,0.482,0.833,5,-5.6110000000000015,1,0.0449,0.000346,0.0,0.365,0.74,148.039,212293,4
album,The Wonder Years,Sleeping on Trash: A Collection of Songs Recorded 2005-2010,18,False,False,Mike Kennedy is a Bad Friend,18,0.441,0.863,1,-4.735,1,0.0565,1.52e-05,0.327,0.28800000000000003,0.489,102.276,74653,4
album,Usher,Raymond v Raymond (Expanded Edition),22,False,False,DJ Got Us Fallin' In Love (feat. Pitbull),78,0.6629999999999999,0.861,7,-3.398,0,0.109,0.0338,0.0,0.08199999999999999,0.654,119.963,220800,4
album,Year 200X,We Are Error,13,False,False,Castlevania III (the Beginning),17,0.192,0.693,7,-8.539,0,0.052000000000000005,2.75e-06,0.863,0.232,0.485,113.765,114000,4
album,Trey Songz,"Passion, Pain & Pleasure (Deluxe Version)",20,True,False,Bottoms Up (feat. Nicki Minaj),72,0.8440000000000001,0.601,1,-5.283,1,0.157,0.0205,0.0,0.385,0.331,73.98899999999998,242013,4
compilation,Pink Floyd,"The Early Years, 1967-1972, Cre/ation",27,False,False,Jugband Blues - 2010 Mix,20,0.381,0.262,4,-12.444,0,0.041,0.225,3.55e-06,0.198,0.242,119.822,181747,4
album,B.o.B,B.o.B Presents: The Adventures of Bobby Ray,12,True,False,Airplanes (feat. Hayley Williams of Paramore),75,0.66,0.867,6,-4.285,0,0.116,0.11,0.0,0.0368,0.377,93.033,180480,4
album,O.Reynolds,Play,7,True,False,Year 2020,1,0.622,0.66,6,-9.679,0,0.334,0.0727,0.0,0.358,0.501,83.699,195385,4
album,Don Omar,Meet The Orphans,14,False,False,Danza Kuduro,75,0.4,0.915,0,-4.89,1,0.28,0.0846,0.0,0.0503,0.878,88.917,198773,3
album,The Wonder Years,Sleeping on Trash: A Collection of Songs Recorded 2005-2010,18,False,False,Leavenhouse. 11:30.,18,0.4320000000000001,0.897,1,-4.302,1,0.103,7.829999999999999e-05,0.0,0.0455,0.72,144.257,131443,4
